"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(9.0.0)","CHN.PPPSH.A","OBS_VALUE","China, People's Republic of","Gross domestic product (GDP), Purchasing power parity (PPP) international dollar, percent of world GDP, Percent, ICP benchmarks 2017-2021","Annual","Units","2.058","2.114","2.292","2.477","2.731","2.993","3.156","3.394","3.615","3.636","3.629","3.910","4.012","4.488","4.934","5.284","5.599","5.881","6.182","6.438","6.649","7.030","7.472","7.938","8.313","8.854","9.485","10.293","10.977","12.090","12.717","13.407","14.009","14.615","15.183","15.726","16.283","16.774","17.188","17.640","18.509","18.734","18.639","18.990","19.306","19.629"
"IMF.RES:WEO(9.0.0)","CHN.TMG_RPCH.A","OBS_VALUE","China, People's Republic of","Imports of goods, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","","","","","","","","","","","","","","","","","","","12.647","13.131","26.059","14.882","21.946","33.241","18.828","13.626","15.895","12.847","3.575","3.311","23.115","11.756","6.043","9.678","3.663","-0.419","3.463","8.741","6.428","-1.549","0.536","6.883","-7.301","2.280","1.291","-2.311"
"IMF.RES:WEO(9.0.0)","CHN.NGDP.A","OBS_VALUE","China, People's Republic of","Gross domestic product (GDP), Current prices, Domestic currency","Annual","Billions","454.870","493.040","539.650","604.580","730.410","912.500","1040.930","1221.950","1523.650","1728.080","1900.600","2214.290","2732.600","3583.440","4880.770","6160.640","7223.170","8023.610","8572.990","9115.370","10102.460","11185.530","12304.740","13913.160","16379.660","19056.630","22303.690","27480.190","32335.100","35360.640","41562.510","49268.040","54808.880","60612.500","65743.250","70415.750","76067.210","84506.670","93358.130","100672.280","104224.490","117310.970","123341.280","129427.170","134921.010","139838.437"
"IMF.RES:WEO(9.0.0)","CHN.PCPIPCH.A","OBS_VALUE","China, People's Republic of","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","","2.500","2.000","2.000","2.700","9.300","6.500","7.300","18.800","18.000","3.255","3.601","6.351","14.591","24.272","16.782","8.343","2.759","-0.772","-1.408","0.350","0.730","-0.772","1.144","3.904","1.815","1.493","4.746","5.866","-0.701","3.336","5.397","2.620","2.655","1.961","1.462","2.004","1.569","2.091","2.889","2.506","0.918","1.975","0.228","0.212","0.013"
"IMF.RES:WEO(9.0.0)","RUS.GGR_NGDP.A","OBS_VALUE","Russian Federation","Revenue, General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","32.259","30.700","33.758","34.456","34.491","33.949","34.203","37.055","36.843","37.527","36.560","32.707","32.311","34.693","34.411","33.490","33.868","31.887","32.916","33.361","35.544","35.682","35.164","35.715","33.818","33.486","35.267","35.098"
"IMF.RES:WEO(9.0.0)","RUS.NGDPD.A","OBS_VALUE","Russian Federation","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","","","","","","","","","","71.603","196.227","293.768","335.777","412.685","433.704","287.672","209.657","278.264","328.475","370.062","461.518","633.294","817.717","1060.901","1393.416","1779.109","1307.927","1633.111","2046.621","2191.486","2288.428","2048.837","1356.703","1280.648","1575.140","1653.005","1695.724","1488.118","1828.927","2295.526","2059.759","2173.225","2540.656"
"IMF.RES:WEO(9.0.0)","RUS.NGDP.A","OBS_VALUE","Russian Federation","Gross domestic product (GDP), Current prices, Domestic currency","Annual","Billions","","","","","","","","","","","0.690","1.490","20.360","183.680","654.260","1530.710","2151.370","2509.960","2817.610","5167.820","7827.470","9582.540","11604.470","14152.130","18243.960","23153.900","28840.560","35623.160","44226.320","41580.160","49617.630","60114.001","68103.450","72985.701","79030.040","83087.360","85616.084","91843.154","103861.651","109608.306","107658.131","134727.467","156940.923","176413.587","201152.092","212805.341"
"IMF.RES:WEO(9.0.0)","RUS.GGR.A","OBS_VALUE","Russian Federation","Revenue, General government, Domestic currency","Annual","Billions","","","","","","","","","","","","","","","","","","","908.941","1586.528","2642.381","3301.713","4002.442","4804.480","6240.008","8579.637","10625.812","13368.262","16169.099","13599.718","16031.930","20855.368","23435.105","24442.686","26766.080","26494.089","28181.540","30640.020","36916.899","39110.301","37856.707","48118.423","53074.189","59073.435","70940.947","74690.433"
"IMF.RES:WEO(9.0.0)","CHN.BCA_NGDPD.A","OBS_VALUE","China, People's Republic of","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","3.819","3.039","1.917","1.674","1.288","2.383","2.561","3.484","5.692","8.288","9.777","9.038","4.700","3.874","1.785","2.481","1.515","2.206","2.591","1.671","1.509","0.171","0.706","1.648","1.940","2.422","1.442","2.261","3.304"
"IMF.RES:WEO(9.0.0)","RUS.NGDPRPPPPC.A","OBS_VALUE","Russian Federation","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021","Annual","Units","","","","","","","","","","","29683.980","28119.054","24018.487","21940.609","19160.717","18379.106","17746.692","18020.636","17090.388","18231.499","20149.147","21263.043","22374.916","24130.003","25958.519","27724.533","30086.660","32715.085","34446.809","31743.189","33160.659","34444.646","35740.700","36260.065","35853.248","35037.154","35005.444","35570.705","36536.694","37319.322","36376.336","38638.428","38214.494","39887.338","41666.830","42065.443"
"IMF.RES:WEO(9.0.0)","CHN.TXG_RPCH.A","OBS_VALUE","China, People's Republic of","Exports of goods, Volume, Free on board (FOB), Percent change","Annual","Units","","","","","","","","","","","","","","","","","","","21.748","4.541","26.915","10.777","25.451","33.338","25.407","19.019","21.520","16.795","5.858","-9.052","15.493","9.248","7.191","9.890","5.558","2.450","2.350","7.470","4.365","1.007","-2.071","16.546","-1.583","3.208","13.233","9.783"
"IMF.RES:WEO(9.0.0)","CHN.PPPPC.A","OBS_VALUE","China, People's Republic of","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Units","275.489","312.603","356.162","404.691","476.786","550.391","602.025","677.821","768.187","819.455","870.593","979.114","1131.236","1304.443","1490.100","1671.209","1852.057","2038.952","2205.211","2390.260","2633.912","2897.072","3192.526","3563.585","4005.970","4577.071","5287.778","6167.771","6857.571","7514.889","8371.264","9294.288","10134.737","11042.848","11996.128","12893.511","13807.500","14939.698","16225.262","17586.601","18384.413","20827.093","23016.507","25188.583","27132.068","29191.097"
"IMF.RES:WEO(9.0.0)","RUS.GGXCNL.A","OBS_VALUE","Russian Federation","Net lending (+) / net borrowing (-), General government, Domestic currency","Annual","Billions","","","","","","","","","","","","","","","","","","","-209.165","-185.349","243.205","286.637","78.051","191.071","834.616","1758.992","2250.584","1989.684","2012.072","-2448.618","-1584.726","860.724","260.387","-848.224","-845.586","-2813.691","-3142.138","-1349.108","3036.213","2115.018","-4294.213","1045.812","-2107.617","-3910.212","-3225.391","-5825.418"
"IMF.RES:WEO(9.0.0)","RUS.NGDP_R.A","OBS_VALUE","Russian Federation","Gross domestic product (GDP), Constant prices, Domestic currency","Annual","Billions","","","","","","","","","","","","","84500.613","77149.060","67351.129","64589.733","62276.592","63133.440","59775.411","63569.653","69961.230","73516.427","77005.638","82669.961","88577.098","94243.009","101938.165","110654.194","116460.316","107352.032","112196.123","116678.031","121373.255","123503.868","124413.187","121958.864","122195.063","124427.207","127919.058","130730.816","127261.672","134727.467","132792.940","138214.244","144218.789","145096.774"
