date,y_true,proba_logit,proba_rf,proba_ensemble,ml_signal,direction,strength,confidence
2023-01-31,0,0.720983,0.436014,0.578499,1,1,0.156997,0.156997
2023-02-28,0,0.549569,0.263731,0.40665,-1,-1,0.1867,0.1867
2023-03-31,0,0.376806,0.394868,0.385837,-1,-1,0.228327,0.228327
2023-04-30,0,0.270225,0.186192,0.228208,-1,-1,0.543583,0.543583
2023-05-31,0,0.300168,0.197456,0.248812,-1,-1,0.502375,0.502375
2023-06-30,0,0.232325,0.102752,0.167539,-1,-1,0.664923,0.664923
2023-07-31,0,0.329789,0.254101,0.291945,-1,-1,0.41611,0.41611
2023-08-31,0,0.497053,0.340721,0.418887,-1,-1,0.162226,0.162226
2023-09-30,0,0.64227,0.367522,0.504896,0,0,0.009792,0.009792
2023-10-31,1,0.584586,0.321209,0.452898,0,0,0.094205,0.094205
2023-11-30,0,0.52771,0.722086,0.624898,1,1,0.249796,0.249796
2023-12-31,1,0.535418,0.414392,0.474905,0,0,0.050191,0.050191
2024-01-31,0,0.706027,0.558413,0.63222,1,1,0.26444,0.26444
2024-02-29,0,0.582815,0.356279,0.469547,0,0,0.060906,0.060906
2024-03-31,0,0.511683,0.525005,0.518344,0,0,0.036688,0.036688
2024-04-30,0,0.542607,0.483304,0.512956,0,0,0.025911,0.025911
2024-05-31,0,0.497822,0.445543,0.471683,0,0,0.056634,0.056634
2024-06-30,0,0.563336,0.616128,0.589732,1,1,0.179464,0.179464
2024-07-31,0,0.34207,0.360901,0.351485,-1,-1,0.29703,0.29703
2024-08-31,0,0.337423,0.319848,0.328635,-1,-1,0.342729,0.342729
2024-09-30,0,0.251782,0.363177,0.30748,-1,-1,0.385041,0.385041
2024-10-31,1,0.334785,0.249009,0.291897,-1,-1,0.416206,0.416206
2024-11-30,1,0.637774,0.570851,0.604312,1,1,0.208624,0.208624
2024-12-31,0,0.655817,0.478467,0.567142,1,1,0.134283,0.134283
2025-01-31,1,0.160927,0.408602,0.284765,-1,-1,0.430471,0.430471
2025-02-28,1,0.46381,0.513069,0.48844,0,0,0.023121,0.023121
2025-03-31,0,0.376838,0.678395,0.527616,0,0,0.055233,0.055233
2025-04-30,1,0.32315,0.504926,0.414038,-1,-1,0.171924,0.171924
2025-05-31,1,0.345716,0.526104,0.43591,-1,-1,0.12818,0.12818
2025-06-30,1,0.307937,0.674364,0.49115,0,0,0.0177,0.0177
2025-07-31,1,0.397666,0.504785,0.451225,0,0,0.097549,0.097549
2025-08-31,0,0.608111,0.567911,0.588011,1,1,0.176022,0.176022
2025-09-30,1,0.386719,0.401,0.39386,-1,-1,0.212281,0.212281
2025-10-31,1,0.452009,0.457272,0.454641,0,0,0.090718,0.090718
2025-11-30,0,0.532673,0.493057,0.512865,0,0,0.02573,0.02573
2025-12-31,0,0.467202,0.646538,0.55687,1,1,0.11374,0.11374
