signal,active_pct,persistence,flip_rate,signal_type
signal_3M,0.2917,0.9259,0.0714,spread
signal_6M,0.3542,0.9394,0.0588,spread
signal_1Y,0.3438,0.9375,0.0606,spread
signal_2Y,0.3125,0.9655,0.0333,spread
signal_3Y,0.3021,0.9286,0.069,spread
signal_5Y,0.2604,0.9167,0.08,spread
signal_7Y,0.25,0.913,0.0833,spread
signal_10Y,0.25,0.913,0.0833,spread
signal_15Y,0.2812,0.9231,0.0741,spread
signal_20Y,0.3125,0.931,0.0667,spread
signal_30Y,0.3438,0.9062,0.0909,spread
cip_signal_3M,0.2708,0.84,0.1538,cip
cip_signal_6M,0.2604,0.8333,0.16,cip
cip_signal_1Y,0.2604,0.8333,0.16,cip
cip_signal_2Y,0.2396,0.8182,0.1739,cip
cip_signal_3Y,0.2708,0.84,0.1538,cip
cip_signal_5Y,0.2604,0.8333,0.16,cip
cip_signal_7Y,0.2604,0.8333,0.16,cip
cip_signal_10Y,0.25,0.8261,0.1667,cip
cip_signal_15Y,0.25,0.8261,0.1667,cip
cip_signal_20Y,0.25,0.8261,0.1667,cip
cip_signal_30Y,0.25,0.8261,0.1667,cip
signal_RU,0.0737,0.5,0.4286,factor
signal_CN,0.0842,0.5714,0.375,factor
