history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME;TRADE_SESSION_DATE;RECALC_DATE
SNDX;RGBI;05.01.2015;Индекс Мосбиржи гос обл RGBI;Индекс Мосбиржи государственных облигаций ценовой;104,98;105,59;105,87;104,96;3308545;;14,07;2;;RUB;;3;;05.01.2015;
SNDX;RGBI;06.01.2015;Индекс Мосбиржи гос обл RGBI;Индекс Мосбиржи государственных облигаций ценовой;104,54;105,33;105,52;104,21;180605223;;14,57;2;;RUB;;3;;06.01.2015;
SNDX;RGBI;08.01.2015;Индекс Мосбиржи гос обл RGBI;Индекс Мосбиржи государственных облигаций ценовой;103,7;104,14;104,42;103,7;4674350;;14,5;2;;RUB;;3;;08.01.2015;
SNDX;RGBI;09.01.2015;Индекс Мосбиржи гос обл RGBI;Индекс Мосбиржи государственных облигаций ценовой;104,47;103,63;104,81;103,63;4903113;;14,2;2;;RUB;;3;;09.01.2015;
SNDX;RGBI;12.01.2015;Индекс Мосбиржи гос обл RGBI;Индекс Мосбиржи государственных облигаций ценовой;101,47;104,34;105,16;101,47;1321727028;;15,8;2;;RUB;;3;;12.01.2015;
SNDX;RGBI;13.01.2015;Индекс Мосбиржи гос обл RGBI;Индекс Мосбиржи государственных облигаций ценовой;99,17;101,35;101,36;99,12;753276003;;16,3;2;;RUB;;3;;13.01.2015;
SNDX;RGBI;14.01.2015;Индекс Мосбиржи гос обл RGBI;Индекс Мосбиржи государственных облигаций ценовой;99,49;99,23;99,49;98,92;1408509858;;16,31;2;;RUB;;3;;14.01.2015;
SNDX;RGBI;15.01.2015;Индекс Мосбиржи гос обл RGBI;Индекс Мосбиржи государственных облигаций ценовой;102,43;99,53;102,57;99,53;554609825;;15,1;2;;RUB;;3;;15.01.2015;
SNDX;RGBI;16.01.2015;Индекс Мосбиржи гос обл RGBI;Индекс Мосбиржи государственных облигаций ценовой;103,61;102,49;103,71;101,87;743829995;;14,46;2;;RUB;;3;;16.01.2015;
SNDX;RGBI;19.01.2015;Индекс Мосбиржи гос обл RGBI;Индекс Мосбиржи государственных облигаций ценовой;103,5;103,63;103,95;103,17;1410627303;;14,75;2;;RUB;;3;;19.01.2015;
